gebouw,build
"Polygon ((5.871020619 51.985107357, 5.871036279 51.98508412, 5.871028644 51.985082111, 5.871044305 51.985058875, 5.871154788 51.985087929, 5.871220611 51.984990288, 5.871109564 51.984961649, 5.871128266 51.984935632, 5.871340972 51.984989119, 5.871303451 51.985043733, 5.871393902 51.985067189, 5.871351108 51.985128306, 5.871392905 51.985139298, 5.871353644 51.985197362, 5.871068383 51.98512235, 5.871069773 51.985120286, 5.871020619 51.985107357))",B17
"Polygon ((5.871477621 51.985966092, 5.871494175 51.985940605, 5.871457634 51.985932387, 5.871508538 51.985855273, 5.871893633 51.985952451, 5.871843806 51.986029579, 5.871807342 51.986020363, 5.871791711 51.986045037, 5.871789707 51.986048129, 5.871475617 51.985969183, 5.871477621 51.985966092))",B18
"Polygon ((5.871184304 51.986337339, 5.871180265 51.986336709, 5.871194619 51.98631248, 5.871220858 51.98631843, 5.871282495 51.98622264, 5.871677135 51.986319096, 5.871609302 51.986422139, 5.871422243 51.986375702, 5.871246657 51.986332121, 5.871237807 51.986345712, 5.871184304 51.986337339))",B19
"Polygon ((5.872445146 51.986143131, 5.872527409 51.986164399, 5.872420465 51.986326846, 5.872341941 51.986306713, 5.872320153 51.98633952, 5.87223087 51.986316644, 5.872226217 51.986323872, 5.872039415 51.986277013, 5.87204407 51.986269929, 5.871958139 51.986248684, 5.87199755 51.986188452, 5.872083626 51.986209625, 5.872088281 51.986202541, 5.872274597 51.98624889, 5.872270073 51.986255919, 5.872356217 51.986277981, 5.872445146 51.986143131))",B20
"Polygon ((5.872877775 51.986314075, 5.872885872 51.9863009, 5.872763523 51.986272139, 5.872826961 51.986169635, 5.873260939 51.986271488, 5.8731993 51.986374713, 5.87307674 51.986345405, 5.873068429 51.986358903, 5.872877775 51.986314075))",B22
"Polygon ((5.872143388 51.984594938, 5.872125051 51.984583239, 5.872171219 51.984555634, 5.872189556 51.984567334, 5.872218636 51.984585658, 5.87222416 51.9845823, 5.872229605 51.98457959, 5.872235307 51.984577913, 5.872243471 51.984576262, 5.872249421 51.98457594, 5.872257018 51.984575792, 5.872263153 51.984576324, 5.872269894 51.984577788, 5.872276456 51.984580206, 5.872283794 51.984584365, 5.872288494 51.984588156, 5.872291245 51.984592181, 5.872293086 51.984596865, 5.872293701 51.984605258, 5.872290408 51.984613037, 5.872288238 51.984615653, 5.872285569 51.984617875, 5.872275603 51.984623749, 5.872309103 51.98464566, 5.872320594 51.984652911, 5.872511755 51.984773537, 5.872528455 51.984764345, 5.872554474 51.984750018, 5.872676941 51.984827765, 5.872683665 51.984823522, 5.872747638 51.984864649, 5.872635836 51.98493166, 5.872571442 51.984890705, 5.872595466 51.984876306, 5.872525502 51.984831805, 5.872420136 51.984894961, 5.872334087 51.984841062, 5.872346182 51.98483277, 5.872162451 51.984716733, 5.872149916 51.984724685, 5.87205149 51.984662406, 5.872153488 51.984601413, 5.872143388 51.984594938))",B30
"Polygon ((5.873436207 51.985829194, 5.873374877 51.985866964, 5.873366141 51.985861437, 5.873139624 51.985998384, 5.873087619 51.985964317, 5.87302007 51.986005808, 5.873016992 51.986003888, 5.872954114 51.986042492, 5.872838173 51.986004572, 5.872808541 51.985985037, 5.872814341 51.985981561, 5.872899605 51.985930569, 5.872902669 51.98593248, 5.87294554 51.985906839, 5.872930516 51.985897454, 5.872939445 51.985892555, 5.872819451 51.985817683, 5.872796948 51.985831402, 5.872630124 51.985725767, 5.872651818 51.985712609, 5.87262564 51.985696106, 5.872541358 51.985642965, 5.872396674 51.985551745, 5.872452864 51.985517951, 5.872449815 51.985516022, 5.872649924 51.985399238, 5.872660111 51.985405659, 5.872714839 51.985371304, 5.872979216 51.985537774, 5.873001414 51.985524146, 5.873025687 51.985539442, 5.873034364 51.985544917, 5.873129199 51.985604693, 5.873174258 51.98559826, 5.87322013 51.985626626, 5.873167478 51.985659085, 5.873436207 51.985829194))",B31
"Polygon ((5.869500929 51.983824228, 5.869495872 51.983764134, 5.86953586 51.983762811, 5.869534793 51.98375025, 5.869575509 51.983748896, 5.869581584 51.983821102, 5.869500929 51.983824228))",B40
"Polygon ((5.871533518 51.983926857, 5.871587309 51.983925791, 5.871586764 51.983915762, 5.871702335 51.983912096, 5.871704176 51.983934271, 5.871723953 51.983933651, 5.871730632 51.984014257, 5.871639332 51.984017141, 5.87159214 51.983993049, 5.871591295 51.983982185, 5.871536913 51.983983803, 5.871536148 51.983970925, 5.871526335 51.983970804, 5.871523787 51.983939697, 5.871534282 51.983939699, 5.871533518 51.983926857))",B44
"Polygon ((5.873331273 51.984141393, 5.873256119 51.98414448, 5.87325618 51.984146053, 5.873172206 51.984149285, 5.873172031 51.984147911, 5.873113663 51.984149824, 5.873113158 51.984144828, 5.873094635 51.984145588, 5.872823761 51.984156683, 5.872811341 51.984036776, 5.873101144 51.984024875, 5.873100702 51.9840204, 5.873573597 51.984002528, 5.873587697 51.98413085, 5.873331273 51.984141393))",B46
"Polygon ((5.875874305 51.984953606, 5.875927315 51.984960972, 5.875891187 51.985058717, 5.875754718 51.98503924, 5.87575458 51.985037317, 5.875501767 51.985001577, 5.875498518 51.98501075, 5.875483984 51.985008842, 5.875487143 51.984999508, 5.875421476 51.984990226, 5.875419813 51.984996587, 5.875303287 51.984985098, 5.875304433 51.984980689, 5.87521326 51.984971333, 5.875217894 51.984951692, 5.875309603 51.984960822, 5.875362729 51.984756836, 5.875297779 51.984750553, 5.875318243 51.984672754, 5.875519027 51.984692415, 5.875506768 51.984739034, 5.875487415 51.984737092, 5.875449827 51.984881394, 5.875530044 51.984892674, 5.87552542 51.984905097, 5.875874305 51.984953606))",B48
"Polygon ((5.869928439 51.9857401, 5.869675623 51.985677095, 5.869597195 51.985657543, 5.869609154 51.985639257, 5.86947231 51.985605159, 5.869509294 51.985547626, 5.869701528 51.985595213, 5.869704954 51.985590237, 5.869717037 51.985592983, 5.869715307 51.985595867, 5.869817466 51.985621055, 5.869807384 51.985636548, 5.869995038 51.985683236, 5.870004321 51.985667873, 5.870078493 51.985685599, 5.870038231 51.985748144, 5.870025988 51.985745452, 5.870015487 51.985761225, 5.869960736 51.985747671, 5.869928439 51.9857401))",B14
"Polygon ((5.874265625 51.985311945, 5.874279842 51.985295303, 5.87424551 51.985284047, 5.874255817 51.985272014, 5.874240742 51.985267286, 5.874264421 51.985239971, 5.874279291 51.985244611, 5.874369825 51.985138901, 5.874363002 51.985136647, 5.874390109 51.985104572, 5.874371233 51.985098331, 5.874368762 51.985098692, 5.874365541 51.985091614, 5.87436711 51.985091319, 5.874398923 51.985054291, 5.874382633 51.985048956, 5.874410976 51.985016732, 5.874426754 51.985021907, 5.874433338 51.985014249, 5.874433379 51.985012649, 5.874443519 51.985010746, 5.874445941 51.9850139, 5.874450878 51.985015489, 5.874489883 51.985028028, 5.874506938 51.985007383, 5.874633621 51.985048051, 5.874616728 51.985068804, 5.874666688 51.985084865, 5.874669784 51.98508443, 5.874672154 51.98509215, 5.874669607 51.985092206, 5.874603376 51.985168971, 5.874604136 51.985170622, 5.874592935 51.985172681, 5.874592236 51.985171354, 5.874571914 51.985164634, 5.874543466 51.985196571, 5.8745353 51.985193899, 5.874444919 51.985298933, 5.874461768 51.985304877, 5.874437805 51.985332876, 5.874420624 51.985327168, 5.874411021 51.985338326, 5.874377492 51.985327328, 5.874363128 51.985343773, 5.874265625 51.985311945))",B38
"Polygon ((5.875072507 51.985934622, 5.875121324 51.98587222, 5.875248962 51.985707465, 5.875518956 51.985787195, 5.875263675 51.98611622, 5.874993606 51.986036463, 5.875072507 51.985934622))",B54
"Polygon ((5.870809178 51.984183398, 5.870813067 51.984183607, 5.8708169 51.984184022, 5.870820663 51.984184645, 5.87082434 51.984185466, 5.870827859 51.984186485, 5.870831235 51.984187693, 5.870834423 51.984189074, 5.87083741 51.984190625, 5.870840165 51.984192331, 5.870842659 51.984194181, 5.870844879 51.984196158, 5.870846808 51.984198254, 5.870848433 51.98420044, 5.870849753 51.984202709, 5.870850739 51.984205033, 5.870851391 51.984207412, 5.870851693 51.984209811, 5.870856218 51.984287865, 5.87073992 51.984290437, 5.870332215 51.984299446, 5.870334792 51.984344099, 5.87009911 51.9843493, 5.870088337 51.984349245, 5.870077631 51.984348606, 5.870067049 51.984347391, 5.87005668 51.9843456, 5.870046596 51.98434325, 5.870036899 51.984340369, 5.870027765 51.984337018, 5.870019149 51.984333197, 5.870011097 51.984328925, 5.870003666 51.984324236, 5.86999693 51.984319177, 5.869990932 51.984313763, 5.869985717 51.98430805, 5.86998133 51.984302082, 5.869977784 51.984295903, 5.869975124 51.98428956, 5.869973381 51.984283086, 5.869972539 51.984276555, 5.869969699 51.984243966, 5.870057602 51.984242014, 5.87005366 51.984171976, 5.870080553 51.984171227, 5.870073893 51.984086692, 5.870065464 51.9839799, 5.870092198 51.983979161, 5.87009176 51.983973707, 5.870091928 51.983969033, 5.870093174 51.983964416, 5.870095484 51.983959958, 5.870098802 51.983955747, 5.87010304 51.983951864, 5.870108156 51.98394841, 5.870114005 51.983945437, 5.870120485 51.983943002, 5.870127453 51.983941176, 5.870134777 51.983939977, 5.870142311 51.983939434, 5.870195923 51.983937947, 5.87025946 51.983936176, 5.87027747 51.984164729, 5.870428354 51.984160712, 5.87042985 51.984176633, 5.870796917 51.984166829, 5.87079851 51.984183594, 5.870805277 51.984183405, 5.870809178 51.984183398))",B42
"Polygon ((5.865261476 51.986366999, 5.865211246 51.986197189, 5.865206937 51.986171266, 5.865210402 51.986145303, 5.865221503 51.986120162, 5.865240161 51.986096429, 5.865265614 51.986075248, 5.865296999 51.986057341, 5.865333215 51.986043352, 5.865373015 51.986033744, 5.865377158 51.986033224, 5.865408125 51.986029359, 5.865443912 51.98602844, 5.86547949 51.98603101, 5.86609156 51.986112157, 5.866133446 51.986119312, 5.866172499 51.986131116, 5.866207347 51.986147154, 5.866236819 51.98616688, 5.866603719 51.986519724, 5.866614679 51.986537233, 5.866622109 51.986555431, 5.866625257 51.986582959, 5.866619756 51.986610342, 5.866605813 51.986636563, 5.866583957 51.986660624, 5.866554979 51.98668164, 5.866520005 51.986698816, 5.86648031 51.986711507, 5.866437403 51.986719232, 5.865604542 51.986812855, 5.865559628 51.986811231, 5.865515785 51.986804956, 5.865474297 51.986794204, 5.865436345 51.986779284, 5.865408675 51.986763281, 5.865386287 51.986744388, 5.865369946 51.986723269, 5.865360213 51.986700649, 5.865341126 51.986636316, 5.865334134 51.98661267, 5.865261476 51.986366999), (5.866064235 51.986282525, 5.8659511 51.986326894, 5.865666761 51.986275334, 5.865506486 51.986346777, 5.86555955 51.986525591, 5.865698156 51.986647089, 5.865963894 51.986617048, 5.866302509 51.986510659, 5.866064235 51.986282525))",M01
"Polygon ((5.870809178 51.984183398, 5.870813067 51.984183607, 5.8708169 51.984184022, 5.870820663 51.984184645, 5.87082434 51.984185466, 5.870827859 51.984186485, 5.870831235 51.984187693, 5.870834423 51.984189074, 5.87083741 51.984190625, 5.870840165 51.984192331, 5.870842659 51.984194181, 5.870844879 51.984196158, 5.870846808 51.984198254, 5.870848433 51.98420044, 5.870849753 51.984202709, 5.870850739 51.984205033, 5.870851391 51.984207412, 5.870851693 51.984209811, 5.870856218 51.984287865, 5.87073992 51.984290437, 5.870332215 51.984299446, 5.870334792 51.984344099, 5.87009911 51.9843493, 5.870088337 51.984349245, 5.870077631 51.984348606, 5.870067049 51.984347391, 5.87005668 51.9843456, 5.870046596 51.98434325, 5.870036899 51.984340369, 5.870027765 51.984337018, 5.870019149 51.984333197, 5.870011097 51.984328925, 5.870003666 51.984324236, 5.86999693 51.984319177, 5.869990932 51.984313763, 5.869985717 51.98430805, 5.86998133 51.984302082, 5.869977784 51.984295903, 5.869975124 51.98428956, 5.869973381 51.984283086, 5.869972539 51.984276555, 5.869969699 51.984243966, 5.870057602 51.984242014, 5.87005366 51.984171976, 5.870080553 51.984171227, 5.870073893 51.984086692, 5.870065464 51.9839799, 5.870092198 51.983979161, 5.87009176 51.983973707, 5.870091928 51.983969033, 5.870093174 51.983964416, 5.870095484 51.983959958, 5.870098802 51.983955747, 5.87010304 51.983951864, 5.870108156 51.98394841, 5.870114005 51.983945437, 5.870120485 51.983943002, 5.870127453 51.983941176, 5.870134777 51.983939977, 5.870142311 51.983939434, 5.870195923 51.983937947, 5.87025946 51.983936176, 5.87027747 51.984164729, 5.870428354 51.984160712, 5.87042985 51.984176633, 5.870796917 51.984166829, 5.87079851 51.984183594, 5.870805277 51.984183405, 5.870809178 51.984183398))",B42
